ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
811,9/22/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKB,Bird,Unknown bird,N,2011,Day,1343,0,0,Landing Roll,1,
812,9/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,YI,Bird,Swallows,,2011,Day,931,0,0,Landing Roll,1,Small
813,9/20/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,Z9001,Bird,Golden-crowned kinglet,,2011,,,0,0,,1,Small
814,9/20/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,FDX,FEDEX EXPRESS,Z6014,Bird,Hermit thrush,N,2011,Dawn,530,0,0,Approach,1,Small
815,9/19/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,DAL,DELTA AIR LINES,ZX303,Bird,Savannah sparrow,,2011,Day,1426,0,0,Local,10-Feb,Small
816,9/19/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,YI005,Bird,Barn swallow,N,2011,Day,1242,0,0,Landing Roll,1,Small
817,9/19/11 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,UNKB,Bird,Unknown bird,N,2011,,2300,700,0,Local,,
818,9/19/11 0:00,WA,KMWH,GRANT COUNTY ARPT,BUS,BUSINESS,YH004,Bird,Horned lark,N,2011,Day,1530,10,65,Climb,1,Small
819,9/19/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,BUS,BUSINESS,UNKB,Bird,Unknown bird,N,2011,Night,2245,0,0,Descent,1,
820,9/17/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,ZS014,Bird,Yellow warbler,,2011,,,0,0,,1,Small
821,9/17/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3302,Bird,Red-tailed hawk,,2011,,,0,0,,1,Medium
822,9/17/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,R1101,Bird,Barn owl,,2011,,,0,0,,1,Small
823,9/16/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UPS,UPS AIRLINES,UNKBS,Bird,Unknown bird - small,N,2011,Night,415,1300,145,Approach,1,Small
824,9/16/11 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,UNKB,Bird,Unknown bird,N,2011,,730,100,0,Take-off run,,
825,9/15/11 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,YH004,Bird,Horned lark,N,2011,,1320,20,0,Landing,,Small
826,9/15/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,1C2106,Mammal,Silver-haired bat,,2011,,,0,0,,1,Small
827,9/15/11 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,UNK,UNKNOWN,R1101,Bird,Barn owl,,2011,,,0,0,,1,Small
828,9/15/11 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,ZX303,Bird,Savannah sparrow,N,2011,,,0,0,Departure,10-Feb,Small
829,9/14/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKBM,Bird,Unknown bird - medium,N,2011,Night,2132,0,0,Approach,1,Medium
